Anchorage,613
Baupost,913
Brahman,576
Canyon,570
Cevian,1326
Coatue,612
DL_Partners,546
DK,2562
Discovery,528
Elliott,1082
Farallon,588
Fir_Tree,1447
Gruss,706
HBK,1009
HHR,606
Highfields,903
Highline,697
Kensico,1163
King_Street,970
Litespeed,938
Mason,2004
OZ,811
Scopia,669
SL_Inv,1011
Taconic,532
Valinor,1229
Value_Act,666
Viking,1439
