,Cevian,Corvex,ESL,JANA,Marcato,Pershing.Square,Relational,Sachem.Head,Child.Inv.Fund,Third.Point,Trian.Fund,Value.Act
MTN,0,0,0,0,1,0,0,0,0,0,0,0
PMCS,0,0,0,0,0,0,1,0,0,0,0,0
2550688,0,0,0,0,0,0,1,0,0,0,0,0
STZ,0,0,0,0,0,0,0,0,0,1,0,0
SIRI,0,0,0,1,0,0,0,0,0,0,0,0
BD1NQJ9,0,1,0,1,0,0,0,0,0,0,0,0
CCE,0,0,0,0,0,0,0,0,0,1,0,0
SHOS,0,0,1,0,0,0,0,0,0,0,0,0
MHFI,0,0,0,0,0,0,0,0,1,0,0,0
ABT,0,0,0,0,0,0,0,0,0,1,0,0
EW,0,0,0,1,0,0,0,0,0,0,0,0
AXL,0,0,0,1,0,0,0,0,0,0,0,0
2933795,0,0,0,1,0,0,0,0,0,0,0,0
LEA,0,0,0,0,1,0,0,0,0,0,0,0
AGN,0,1,0,0,0,1,0,0,0,0,0,0
SVU,0,0,0,1,0,0,0,0,0,0,0,0
BEAV,0,0,0,0,0,0,0,0,0,1,0,0
LAMR,0,1,0,0,0,0,0,1,0,0,0,0
GILD,0,0,0,0,0,0,0,0,0,1,0,0
COG,0,0,0,0,0,0,0,0,0,1,0,0
2367963,0,0,0,1,0,0,0,0,0,0,0,0
GY,0,0,0,0,1,0,0,0,0,0,0,0
B0FXT17,0,0,0,0,0,0,0,0,0,1,0,0
4416498,0,0,0,0,0,0,0,0,0,1,0,0
MPC,0,0,0,0,0,0,0,0,0,1,0,0
JAH,0,0,0,0,0,0,0,1,0,0,0,0
PSX,0,1,0,0,0,0,0,0,0,0,0,0
GOOGL,0,0,0,0,0,0,0,0,0,1,0,0
B06GJ37,0,0,0,0,0,0,0,0,0,1,0,0
KMI,0,0,0,1,0,0,0,0,0,0,0,0
HELE,0,0,0,0,0,0,0,1,0,0,0,0
ATVI,0,0,0,0,0,0,0,0,0,1,0,0
B4NHCK9,0,0,0,0,1,0,0,0,0,0,0,0
NLSN,0,0,0,0,0,0,0,0,0,1,0,0
NRF,0,1,0,0,0,0,0,0,0,1,0,0
BCBHZ42,0,0,0,0,0,0,0,0,0,1,0,0
B8W6766,0,0,0,0,0,0,0,0,0,1,0,0
LMCA,0,0,0,1,0,0,0,0,0,0,0,0
OUTR,0,0,0,1,0,0,0,0,0,0,0,0
B7KY3Z6,0,1,0,0,0,0,0,0,0,0,0,0
PG,0,0,0,0,0,1,0,0,0,0,0,0
STAR,0,1,0,0,0,0,0,0,0,0,0,0
B505PN7,0,0,0,0,0,0,0,0,0,1,0,0
ENPH,0,0,0,0,0,0,0,0,0,1,0,0
AMBC,0,0,0,0,0,0,0,0,1,0,0,0
RPM,0,0,0,0,0,0,1,0,0,0,0,0
SBAC,0,1,0,0,0,0,0,0,0,0,0,0
AAPL,0,0,0,0,0,0,0,0,0,1,0,0
XON,0,0,0,0,0,0,0,0,0,1,0,0
CYT,0,0,0,0,0,0,0,0,0,1,0,0
GBNK,0,0,0,0,0,0,1,0,0,0,0,0
B0LN825,0,0,0,0,0,0,0,0,1,0,0,0
STWD,0,1,0,0,0,0,0,0,0,0,0,0
CMCSA,0,0,0,0,0,0,0,1,0,0,0,0
CONE,0,0,0,0,1,0,0,0,0,0,0,0
2126034,0,0,0,0,0,0,0,0,1,0,0,0
BH3XG51,0,0,0,0,0,0,0,0,0,1,0,0
2640891,0,0,0,0,0,0,0,0,0,1,0,0
NSM,0,1,0,0,0,0,0,0,0,0,0,0
DLTR,0,0,0,0,0,0,0,1,0,0,0,0
TPHS,0,0,0,0,1,0,0,0,0,0,0,0
KMI.WT,0,0,0,1,0,0,0,0,0,0,0,0
KAR,0,0,0,0,0,0,0,0,0,0,0,1
KBR,0,1,0,0,0,0,0,0,0,0,0,0
LIN,0,1,0,0,0,0,0,0,0,0,0,0
LPNT,0,1,0,0,0,0,0,0,0,0,0,0
NXST,0,1,0,0,0,0,0,1,0,0,0,0
B9FJX83,0,0,0,0,1,0,0,0,0,0,0,0
CNP,0,1,0,0,0,0,0,0,0,0,0,0
GNC,0,0,0,0,0,0,0,0,0,0,1,0
TWC,0,1,0,0,0,0,0,0,0,0,0,0
ADT,0,1,0,0,0,0,0,0,0,0,0,0
SWAY,0,1,0,0,0,0,0,0,0,0,0,0
B0539H3,0,1,0,0,0,0,0,0,0,0,0,0
OPK,0,0,0,1,0,0,0,0,0,0,0,0
BIOF,0,0,0,0,0,0,0,0,0,1,0,0
ETE,0,0,0,1,0,0,0,0,0,0,0,0
HAL,0,0,0,1,0,0,0,0,0,0,0,0
ARIA,0,1,0,0,0,0,0,0,0,0,0,0
B09LSH6,0,0,0,0,1,0,0,0,0,0,0,0
VVUS,0,1,0,0,0,0,0,0,0,0,0,0
GM.WTA,0,0,0,1,0,0,0,0,0,0,0,0
6349956,0,0,0,0,0,0,0,0,1,0,0,0
OC,0,0,0,1,0,0,0,0,0,0,0,0
B7HY8G5,0,0,0,0,0,0,0,0,1,0,0,0
GM.WTB,0,0,0,1,0,0,0,0,0,0,0,0
ADSK,0,0,0,1,0,0,0,0,0,0,0,0
GOGO,0,0,0,1,0,0,0,0,0,0,0,0
MTW,0,0,0,1,0,0,0,0,0,0,0,0
TIF,0,0,0,0,0,0,0,0,0,0,1,0
0664815,1,0,0,0,0,0,0,0,0,0,0,0
CF,0,1,0,0,0,0,0,0,0,0,0,0
CCI.PRA,0,1,0,0,0,0,0,0,0,0,0,0
OSHSQ,0,0,1,0,0,0,0,0,0,0,0,0
LINTA,0,0,0,0,0,0,0,0,0,0,0,0
VSI,0,0,0,0,0,0,0,0,0,0,0,0
B4ST3S5,0,0,0,0,0,0,0,0,0,0,0,0
BRE,0,0,0,0,0,0,0,0,0,0,0,0
QCOM,0,0,0,0,0,0,0,0,0,0,0,0
BK019T4,0,0,0,0,0,0,0,0,0,0,0,0
NWSA,0,0,0,0,0,0,0,0,0,0,0,0
VRSN,0,0,0,0,0,0,0,0,0,0,0,0
DGX,0,0,0,0,0,0,0,0,0,0,0,0
BGH1M56,0,0,0,0,0,0,0,0,0,0,0,0
2015530,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0
CPWR,0,0,0,0,0,0,0,0,0,0,0,0
JCP,0,0,0,0,0,0,0,0,0,0,0,0
SUNE,0,0,0,0,0,0,0,0,0,0,0,0
2125600,0,0,0,0,0,0,0,0,0,0,0,0
DISH,0,0,0,0,0,0,0,0,0,0,0,0
CPRT,0,0,0,0,0,0,0,0,0,0,0,0
NUAN,0,0,0,0,0,0,0,0,0,0,0,0
SBGI,0,0,0,0,0,0,0,0,0,0,0,0
PBI,0,0,0,0,0,0,0,0,0,0,0,0
VSTL,0,0,0,0,0,0,0,0,0,0,0,0
TIBX,0,0,0,0,0,0,0,0,0,0,0,0
MOS,0,0,0,0,0,0,0,0,0,0,0,0
VLO,0,0,0,0,0,0,0,0,0,0,0,0
CYH,0,0,0,0,0,0,0,0,0,0,0,0
CRR,0,0,0,0,0,0,0,0,0,0,0,0
