Stock,Varana,Saba,BHR,Proxima,Owl_Creek,Elm_Ridge,Knightsbridge,King_Street,Shapiro,Regiment,Brigade,Fine
CYS,0,1,1,0,0,0,0,0,0,0,0,0
CYT,0,0,0,0,0,1,1,0,0,0,0,0
DAL,0,0,0,0,0,1,1,0,0,0,0,0
DD,0,0,0,0,0,0,0,0,1,0,0,0
DDS,0,1,0,0,0,0,0,0,0,0,0,0
DEI,0,0,0,0,0,1,1,0,0,0,0,0
DELL,0,0,0,0,0,1,1,0,0,0,0,0
DEX,0,1,0,0,0,0,0,0,0,0,0,0
DIS,0,0,0,0,0,0,0,0,1,0,0,0
DISH,1,0,0,0,1,0,0,0,0,1,0,0
DLR,0,0,0,0,0,1,1,0,0,0,0,0
DMO,0,1,0,0,0,0,0,0,0,0,0,0
DOLE,0,0,0,1,0,0,0,0,0,0,0,0
DRYS,0,0,0,0,0,0,0,0,0,0,1,0
DSU,0,1,0,0,0,0,0,0,0,0,0,0
DTV,1,0,0,0,0,0,0,0,0,0,0,0
DVN,0,1,0,0,0,0,0,0,1,0,0,0
EAD,0,1,0,0,0,0,0,0,0,0,0,0
EBIX,0,0,0,0,0,0,0,0,0,0,0,0
ECA,0,1,0,0,0,0,0,0,0,0,0,0
EDD,0,1,0,0,0,0,0,0,0,0,0,0
EDF,0,1,0,0,0,0,0,0,0,0,0,0
EGLE,0,0,0,0,0,0,0,0,0,0,1,0
EHI,0,1,0,0,0,0,0,0,0,0,0,0
ELX,0,0,0,1,0,0,0,0,0,0,0,0
ELY,0,0,0,1,0,0,0,0,0,0,0,0
EMB,0,1,0,0,0,0,0,0,0,0,0,0
EMD,0,1,0,0,0,0,0,0,0,0,0,0
ENTG,0,0,0,0,0,0,0,0,1,0,0,0
EQIX,0,1,0,0,1,1,1,0,0,0,0,0
ESD,0,1,0,0,0,0,0,0,0,0,0,0
ETFC,0,0,0,1,0,0,0,0,0,0,0,0
ETR,0,1,0,0,0,0,0,0,0,0,0,0
EVV,0,1,0,0,0,0,0,0,0,0,0,0
EXO_IM,1,0,0,0,0,0,0,0,0,0,0,0
EXXI,0,0,0,0,0,0,0,0,0,0,1,0
FAF,0,0,0,0,0,1,1,0,0,0,0,0
FAM,0,1,0,0,0,0,0,0,0,0,0,0
FAX,0,1,0,0,0,0,0,0,0,0,0,0
FB,0,0,0,0,0,0,0,0,1,0,0,0
FCH,1,0,0,0,0,0,0,0,0,0,1,0
FCNCA,0,0,1,0,0,0,0,0,0,0,0,0
FCO,0,1,0,0,0,0,0,0,0,0,0,0
FCS,0,0,0,0,0,1,1,0,0,0,0,0
FCX,0,1,0,0,0,0,0,0,1,0,0,0
FHY,0,1,0,0,0,0,0,0,0,0,0,0
FI_IM,1,0,0,0,0,0,0,0,0,0,0,0
FII,0,0,0,0,0,0,0,0,1,0,0,0
FLEX,0,0,0,0,0,1,1,0,0,0,0,0
FNP,0,0,0,0,0,0,0,0,0,0,1,0
FNSR,0,0,0,0,0,0,0,0,0,0,1,0
FOE,0,0,0,0,0,0,0,0,0,0,1,0
FP_RO,1,0,0,0,0,0,0,0,0,0,0,0
FSD,0,1,0,0,0,0,0,0,0,0,0,0
FST,0,1,0,1,1,0,0,0,0,0,1,0
FTP_CN,1,0,0,0,0,0,0,0,0,0,0,0
FWLT,0,1,0,0,0,0,0,0,0,1,0,0
GCI,0,0,0,0,0,0,0,0,0,0,0,0
GCVRZ,0,0,0,0,0,0,0,0,0,0,0,0
GDF,0,1,0,0,0,0,0,0,0,0,0,0
GDO,0,1,0,0,0,0,0,0,0,0,0,0
GE,0,0,0,0,0,0,0,0,1,0,0,0
GEO,0,0,0,0,0,0,0,0,0,1,0,0
GHI,0,1,0,0,0,0,0,0,0,0,0,0
GLNG,0,1,1,0,0,0,0,0,0,0,1,0
GLO,0,1,0,0,0,0,0,0,0,0,0,0
GLV,0,1,0,0,0,0,0,0,0,0,0,0
GLW,0,1,0,0,0,1,1,0,1,0,0,0
GM,0,1,0,1,0,0,0,1,1,0,1,0
GM_PB,0,0,0,0,0,0,0,0,1,0,0,0
GM_WS_A,0,0,0,0,0,0,0,1,0,0,0,0
GM_WS_B,0,0,0,0,0,0,0,1,0,0,0,0
GNC,0,0,0,0,1,0,0,0,0,0,0,0
GNW,1,1,0,0,0,0,0,0,0,0,0,1
GOGO,1,0,0,0,0,0,0,0,0,0,0,0
GS,0,0,0,0,0,1,1,0,0,0,0,0
GSAT,1,0,0,0,0,0,0,0,0,0,0,0
GT,0,1,0,0,0,0,0,0,0,0,1,0
GTI,0,0,0,0,0,0,0,0,1,0,0,0
GTY,0,0,0,0,0,0,0,0,0,0,0,0
HAS,0,1,0,0,0,0,0,0,0,0,0,0
HBI,0,0,0,0,0,0,0,0,1,0,0,0
HCA,0,1,0,0,0,0,0,0,0,0,0,0
HCP,0,1,0,0,0,0,0,0,0,0,0,0
HES,0,0,0,0,1,0,0,0,0,0,1,0
HHC,0,0,0,0,0,0,0,0,0,0,0,0
HIO,0,1,0,0,0,0,0,0,0,0,0,0
HIS,0,1,0,0,0,0,0,0,0,0,0,0
HLSS,0,0,1,0,0,0,0,0,0,0,0,0
HMA,0,0,0,0,0,0,0,0,0,0,1,0
HMST,0,0,1,0,0,0,0,0,0,0,0,0
HOS,0,0,1,0,0,0,0,0,0,0,0,1
HOV,0,0,0,0,0,0,0,0,0,0,1,0
HPQ,0,0,0,1,0,0,0,0,0,0,0,0
HRB,0,0,0,0,0,0,0,0,0,0,0,0
HRG,0,0,1,0,0,0,0,0,0,0,0,0
HSH,0,1,0,0,0,0,0,0,0,0,0,0
HTR,0,1,0,0,0,0,0,0,0,0,0,0
HTZ,0,0,0,0,1,0,0,0,0,0,0,0
HXL,0,0,0,0,0,1,1,0,0,0,0,0
HYF,0,1,0,0,0,0,0,0,0,0,0,0
HYG,0,1,0,0,0,0,0,0,1,0,0,0
HYI,0,1,0,0,0,0,0,0,0,0,0,0
HYT,0,1,0,0,0,0,0,0,0,0,0,0
HYV,0,1,0,0,0,0,0,0,0,0,0,0
IACI,0,0,0,1,0,0,0,0,0,0,0,0
ICUI,0,0,0,0,0,1,1,0,0,0,0,0
IDCC,0,0,0,1,0,0,0,0,0,0,0,0
IGT,0,1,0,0,0,0,0,0,0,0,0,0
INXN,0,0,1,0,0,0,0,0,0,0,0,0
IP,0,0,0,1,0,0,0,0,0,0,0,0
IPI,0,0,0,0,0,1,1,0,0,0,0,0
IRM,0,0,0,0,1,0,0,0,0,0,0,0
ITMN,0,0,0,1,0,0,0,0,0,0,0,0
ITRI,0,1,0,0,0,0,0,0,0,0,0,0
ITT,0,0,0,0,0,0,0,0,0,0,0,0
ITW,0,0,0,0,0,1,1,0,0,0,0,0
IVR,0,1,0,0,0,0,0,0,0,0,0,0
IVV,0,0,0,0,0,0,0,0,1,0,0,0
IWM,0,0,0,0,0,0,0,0,1,0,0,0
IWN,0,0,0,0,0,0,0,0,1,0,0,0
JBL,0,0,0,0,0,1,1,0,0,0,0,0
JBT,0,0,0,0,0,0,0,0,1,0,0,0
JCI,0,0,0,0,0,1,1,0,0,0,0,0
JCP,0,1,0,1,0,0,0,0,0,0,0,0
JDD,0,1,0,0,0,0,0,0,0,0,0,0
JDSU,0,0,0,0,0,0,0,0,0,0,1,0
JFR,0,1,0,0,0,0,0,0,0,0,0,0
JLS,0,1,0,0,0,0,0,0,0,0,0,0
JNJ,0,0,0,0,0,0,0,0,1,0,0,0
JNK,0,1,0,0,0,0,0,0,0,0,0,0
JPM,0,0,0,0,0,1,1,0,0,0,0,0
JPM_PI,0,0,0,0,0,0,0,0,1,0,0,0
JQC,0,1,0,0,0,0,0,0,0,0,0,0
KALU,0,1,0,0,0,0,0,0,0,0,0,0
KHI,0,1,0,0,0,0,0,0,0,0,0,0
KMI_WS,0,0,0,0,0,0,0,1,0,0,0,0
KRA,0,0,0,0,0,0,0,0,0,0,0,1
KSS,0,0,0,0,0,1,1,0,0,0,0,0
KVPHQ,1,0,0,0,0,0,0,0,0,0,0,0
LAYN,0,0,0,0,0,0,0,0,0,0,0,0
LCC,0,0,0,1,0,0,0,0,0,0,0,0
LDOS,0,0,0,0,0,0,0,0,1,0,0,0
LEA,0,0,0,0,0,1,1,0,0,0,0,1
LEAP,0,1,0,0,1,0,0,0,0,0,0,0
LL,0,0,0,0,0,1,1,0,0,0,0,0
LLY,0,0,0,0,0,1,1,0,0,0,0,0
LMT,0,0,0,0,0,1,1,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,1,0
LNN,0,0,0,0,0,1,1,0,0,0,0,0
LORL,0,0,0,1,0,0,0,0,0,0,0,0
LPR,0,0,0,0,1,0,0,0,0,0,0,0
LPS,0,0,0,0,0,0,0,0,1,0,0,0
LXK,0,1,0,0,0,0,0,0,0,0,0,0
LYV,1,0,0,0,0,0,0,0,1,0,0,1
M,0,0,0,0,1,0,0,0,0,0,0,0
MAS,0,0,0,0,0,0,0,0,0,0,1,0
MBI,1,1,1,1,0,1,1,0,0,0,0,1
MCR,0,1,0,0,0,0,0,0,0,0,0,0
MDR,0,0,0,0,0,1,1,0,0,0,0,0
MDW,0,0,0,0,0,0,0,0,0,0,0,0
MEOH,0,0,0,0,0,0,0,0,0,0,1,0
MET,0,0,0,0,1,0,0,0,0,0,0,0
MGF,0,1,0,0,0,0,0,0,0,0,0,0
MGM,0,1,0,0,0,0,0,0,0,0,0,0
MHFI,0,0,0,1,0,0,0,0,0,0,0,0
MHY,0,1,0,0,0,0,0,0,0,0,0,0
MIG,0,0,1,0,0,0,0,0,0,0,0,0
MIN,0,1,0,0,0,0,0,0,0,0,0,0
MLM,0,0,0,0,0,1,1,0,0,0,0,0
MMT,0,1,0,0,0,0,0,0,0,0,0,0
MNI,0,1,0,0,0,0,0,0,0,0,0,0
MNTG,0,0,0,0,0,0,0,0,0,0,1,0
MOS,0,0,0,0,0,0,0,0,1,0,0,0
