,HIGHLINE,SCOPIA,VALINOR,SCOUT,TIGER CONSUMER,BRAHMAN
NORDION INC,0,1,0,0,0,0
NUANCE COMMUNICATIONS INC,0,0,0,1,0,0
OCWEN FINL CORP,0,0,0,0,0,1
OIL STS INTL INC,1,0,0,0,0,0
OMNICARE INC,0,0,0,0,0,1
OMNIVISION TECHNOLOGIES INC,0,1,0,0,0,0
ORACLE CORP,0,0,0,0,0,1
OWENS CORNING NEW,0,0,1,0,0,0
PANERA BREAD CO,0,0,0,0,1,0
PENN NATL GAMING INC,0,0,0,1,0,0
PENNEY J C INC,0,0,0,0,1,0
PENTAIR LTD,0,0,1,0,0,0
PHH CORP,0,1,0,0,0,0
PIER 1 IMPORTS INC,0,0,0,0,1,0
POPULAR INC,0,0,1,0,0,0
POST HLDGS INC,0,0,0,1,0,0
PRICELINE COM INC,0,0,0,0,1,0
PROCTER & GAMBLE CO,0,0,0,1,0,0
QLT INC,0,1,0,0,0,0
QUALCOMM INC,0,0,1,0,0,0
REALOGY HLDGS CORP,0,0,0,0,0,1
RESTORATION HARDWARE HLDGS I,0,0,0,0,1,0
RIVERBED TECHNOLOGY INC,0,0,1,0,0,0
ROSS STORES INC,0,0,0,0,1,0
RYMAN HOSPITALITY PPTYS INC,0,0,0,0,1,0
SALLY BEAUTY HLDGS INC,0,0,0,1,0,0
SCRIPPS NETWORKS INTERACT IN,0,0,0,1,0,0
SEAWORLD ENTMT INC,0,0,0,1,0,0
SELECT SECTOR SPDR TR,1,0,0,0,0,0
SENSATA TECHNOLOGIES HLDG BV,0,0,0,1,0,0
SHIRE PLC,1,0,0,0,0,0
SIGNET JEWELERS LIMITED,0,0,1,0,0,0
SIX FLAGS ENTMT CORP NEW,0,0,0,1,0,0
SPDR GOLD TRUST,0,0,0,0,0,1
SPDR S&P 500 ETF TR,1,1,0,1,0,0
SPDR SERIES TRUST,1,0,0,0,0,0
SPIRIT AEROSYSTEMS HLDGS INC,0,1,0,0,0,0
STARBUCKS CORP,1,0,0,1,0,0
STARWOOD HOTELS&RESORTS WRLD,0,0,0,0,1,0
STARZ,0,0,0,0,1,0
SWIFT TRANSN CO,0,0,1,0,0,0
SYMANTEC CORP,0,0,0,0,0,1
TEAM HEALTH HOLDINGS INC,0,0,1,0,0,0
TEEKAY CORPORATION,1,0,0,0,0,0
TEVA PHARMACEUTICAL INDS LTD,0,1,0,0,0,0
ADT CORPORATION,0,1,1,0,0,0
TIM HORTONS INC,0,0,0,1,1,0
TIME WARNER CABLE INC,1,0,0,0,0,0
TJX COS INC NEW,0,1,0,0,0,0
T-MOBILE US INC,0,0,0,1,0,0
TYSON FOODS INC,1,0,0,0,0,0
ULTA SALON COSMETCS & FRAG I,0,0,0,1,1,0
UNITED PARCEL SERVICE INC,0,0,0,1,0,0
UNIVERSAL HLTH SVCS INC,1,0,0,0,0,0
URBAN OUTFITTERS INC,0,0,0,0,1,0
VALEANT PHARMACEUTICALS INTL,0,0,0,0,0,1
VERIFONE SYS INC,0,0,0,0,1,0
VERIZON COMMUNICATIONS INC,0,1,0,0,0,0
VIACOM INC NEW,0,0,0,0,0,1
VIROPHARMA INC,0,1,0,0,0,0
VISTAPRINT N V,0,0,1,0,0,0
WABCO HLDGS INC,1,0,0,0,0,0
WALGREEN CO,0,0,0,0,0,1
WHOLE FOODS MKT INC,0,0,0,1,0,0
WYNDHAM WORLDWIDE CORP,0,0,1,0,0,0
YAHOO INC,0,0,0,0,1,0
ZILLOW INC,0,0,1,0,0,0
ZUMIEZ INC,0,0,0,0,1,0
ZYNGA INC,0,0,0,0,1,0
